Startup Name,Industry,Funding Rounds,Investment Amount (USD),Valuation (USD),Number of Investors,Country,Year Founded,Growth Rate (%)
Startup_52,Fintech,8,2321745880,6758206635,32,USA,2000,192.74
Startup_53,Blockchain,10,675587864.6,1229453483,26,USA,2014,139.82
Startup_54,E-commerce,3,1176101216,3251064586,4,Australia,2002,198.29
Startup_55,HealthTech,2,3604778900,16922409672,3,Germany,2018,71.9
Startup_56,E-commerce,7,4830737938,17347814946,5,Brazil,2020,92.66
Startup_57,SaaS,1,4360313592,9907684659,37,China,2019,160.82
Startup_58,HealthTech,6,2028361129,6102998475,29,Germany,2009,119.37
Startup_59,AI,2,2756855232,11130347512,25,Australia,2007,157
Startup_60,Fintech,6,820455124.6,1840836655,31,Australia,2009,57.83
Startup_61,AI,5,4437872048,6878102855,22,Singapore,2013,107.86
Startup_62,SaaS,8,1924235656,3798190442,37,UK,2010,104.21
Startup_63,Biotech,4,2463967074,5665325650,44,France,2008,53.86
Startup_64,E-commerce,3,4470788164,19418366785,16,USA,2019,58.4
Startup_65,AI,3,4815534281,20158491150,45,China,2008,25.42
Startup_66,AI,6,365913860.6,1672037254,21,India,2017,144.35
Startup_67,SaaS,6,2996659583,4667230456,48,Brazil,2006,62.22
Startup_68,AI,3,3711464089,11066201279,15,Canada,2013,87.42
Startup_69,Biotech,6,928128649.5,4634153806,21,Australia,2007,187.21
Startup_70,Blockchain,1,2603523861,9563072272,19,France,2007,107.67
Startup_71,HealthTech,7,3644872687,11926210327,14,Canada,2010,59.98
Startup_72,Blockchain,4,744631010.3,1620392801,2,Singapore,2008,123.34
Startup_73,E-commerce,8,1344780386,4537818814,19,Australia,2005,179.18
Startup_74,Fintech,3,491018020.8,1354841680,20,India,2013,165.57
Startup_75,Biotech,1,1582882525,5586959852,16,India,2020,144.16
Startup_76,SaaS,10,1085427021,4630172764,18,Australia,2016,91.33
Startup_77,Blockchain,7,1340475423,2357879218,20,Singapore,2004,81.98
Startup_78,HealthTech,8,4940530156,23772801009,14,India,2021,108.11
Startup_79,Fintech,8,2749898673,5542968257,9,Germany,2011,189.55
Startup_80,E-commerce,8,4533989299,8054285187,22,India,2005,69.71
Startup_81,Biotech,8,844854106.7,2590555966,23,USA,2002,69.33
Startup_82,HealthTech,1,3631343014,7772600872,34,USA,2010,28.16
Startup_83,EdTech,8,3689561074,15527195348,32,Singapore,2012,159.5
Startup_84,SaaS,1,1876264362,6903335389,14,Singapore,2023,118.95
Startup_85,Biotech,5,2447270416,8095858828,27,China,2021,129.03
Startup_86,Biotech,7,2407386442,8783700785,10,Germany,2002,182.23
Startup_87,HealthTech,2,4730860833,8195466150,34,Canada,2000,170.46
Startup_88,AI,3,2700679626,4800271507,14,Australia,2020,107
Startup_89,SaaS,9,1054977036,3208096454,31,China,2005,157.79
Startup_90,E-commerce,9,2701705689,10238979646,8,Australia,2010,104.13
Startup_91,SaaS,7,1480174018,6153889306,24,USA,2016,159.77
Startup_92,Blockchain,7,1868556516,5626482828,48,China,2006,74.81
Startup_93,HealthTech,4,4965764722,22063441301,19,USA,2022,185.18
Startup_94,EdTech,6,4373093561,14431864169,21,Singapore,2017,31.3
Startup_95,HealthTech,4,4236712038,18506506243,21,Canada,2012,27.37
Startup_96,Fintech,3,835931781.3,2239262010,23,Singapore,2017,162.48
Startup_97,EdTech,7,1110163040,3432586809,43,France,2012,122.79
Startup_98,SaaS,5,817466253.5,2610638765,40,Brazil,2010,160.46
Startup_99,E-commerce,3,540940572.8,2291586359,42,France,2001,59.69
Startup_100,Blockchain,8,3308060363,5174334068,39,Canada,2005,5.42
Startup_101,Fintech,3,222399646.1,866057139.4,9,UK,2005,14.62
Startup_102,EdTech,7,4504529995,18845746994,21,Singapore,2018,195.16
Startup_103,Blockchain,4,4777022152,9085127518,8,Australia,2007,40.44
Startup_104,Biotech,1,4255546912,11515638961,9,USA,2000,92.03
Startup_105,Fintech,10,4055211093,16887114468,21,Australia,2009,109.49
Startup_106,E-commerce,5,1022453450,2849976437,45,France,2023,22.65
Startup_107,SaaS,7,1862792340,8231911405,25,Germany,2013,151.19
Startup_108,SaaS,3,2793350139,6641452650,24,Germany,2012,169.31
Startup_109,EdTech,1,190552569.8,579122421.7,21,Singapore,2015,6.85
Startup_110,E-commerce,3,4176182630,10240648047,37,Australia,2003,36.45
Startup_111,HealthTech,4,291159535.7,1212955100,26,UK,2001,98.27
Startup_112,SaaS,6,3957776781,13305043816,6,USA,2001,14.82
Startup_113,Biotech,2,4061720586,7008812342,34,Brazil,2018,87.1
Startup_114,Biotech,2,1973996603,5342730966,25,Australia,2017,21.01
Startup_115,SaaS,6,1207908189,5176553240,24,Germany,2018,135.34
Startup_116,HealthTech,10,4148060235,19654238528,12,Singapore,2020,192.62
Startup_117,HealthTech,5,297037415.8,631590081,27,Germany,2022,10.75
Startup_118,EdTech,5,3187593538,14966432137,2,France,2021,166.15
Startup_119,Biotech,9,4898710204,10016527783,9,France,2004,107.44
Startup_120,AI,1,2434425123,7540340368,8,USA,2003,175.64
Startup_121,Fintech,8,3231666824,8713378948,15,Brazil,2014,62.93
Startup_122,HealthTech,7,359706950.7,893681743.5,45,Australia,2007,139.11
Startup_123,EdTech,7,12109878.52,35333149.76,35,France,2001,61.1
Startup_124,AI,4,4058325477,10666646233,3,China,2014,172.42
Startup_125,Biotech,9,1049458897,3791331978,24,Brazil,2004,100.65
Startup_126,E-commerce,6,4243311794,20389236540,12,Canada,2014,20.41
Startup_127,SaaS,9,4724792424,22577045559,36,Canada,2014,148.05
Startup_128,Blockchain,1,996364970.4,4709629475,35,Singapore,2010,181.98
Startup_129,Blockchain,6,3357130457,13831720869,14,Brazil,2011,131.76
Startup_130,Biotech,10,1485976624,5820844543,40,Germany,2017,112.16
Startup_131,EdTech,9,1086640784,3375032749,50,Brazil,2023,179.37
Startup_132,Blockchain,4,670778423.2,2036188591,31,Singapore,2021,75.42
Startup_133,AI,9,2162442988,9684369294,13,USA,2011,121.76
Startup_134,Blockchain,1,3353919321,14101768667,30,Germany,2008,77.07
Startup_135,EdTech,4,2832206309,8112943644,32,Brazil,2010,111.76
Startup_136,EdTech,1,3021364194,8955654522,23,Singapore,2017,6.27
Startup_137,Biotech,9,1946598866,3284018975,47,China,2017,101.04
Startup_138,Fintech,8,1489972758,6800634564,27,China,2022,35.29
Startup_139,SaaS,10,3735587367,12047108054,26,Brazil,2016,98.03
Startup_140,Fintech,8,518119024.6,1848811353,4,Australia,2023,60.11
Startup_141,SaaS,10,2947681328,10472893197,4,UK,2022,115.34
Startup_142,HealthTech,5,1977534387,7797893013,19,India,2005,181.97
Startup_143,Fintech,3,4770544814,12197472011,20,Singapore,2000,34.12
Startup_144,AI,1,3369684712,12010652855,47,Brazil,2022,60.81
Startup_145,EdTech,10,4766934837,22688495648,10,France,2005,37.06
Startup_146,Fintech,9,3908318141,15444336263,31,Germany,2018,142.43
Startup_147,SaaS,9,4769084379,14035036448,41,China,2021,192.97
Startup_148,EdTech,10,4955751623,16105806925,31,Canada,2014,68.54
Startup_149,SaaS,2,910772164.9,1496492548,8,India,2013,36.1
Startup_150,EdTech,10,1170195349,2107219309,9,Canada,2022,92.8
Startup_151,Fintech,6,1967034352,5472960036,17,Australia,2007,65.59
Startup_152,Biotech,2,621222707.4,2548933014,32,UK,2007,157.7
Startup_153,Biotech,10,2136105819,6159536138,12,India,2020,69.58
Startup_154,EdTech,3,2368764172,11722669062,32,France,2002,118.16
Startup_155,Blockchain,1,821122733.3,3928588828,26,Germany,2019,198.98
Startup_156,Biotech,5,4780102281,19249131120,50,USA,2019,33.75
Startup_157,AI,4,2804170174,6711381135,1,India,2008,49.31
Startup_158,EdTech,9,1210756533,5972236369,25,Singapore,2011,143.16
Startup_159,AI,4,3380537692,13459651069,36,Brazil,2011,34.61
Startup_160,AI,8,4661985382,22098096262,43,China,2012,51.38
Startup_161,AI,1,408425258.1,1371906999,6,Brazil,2020,104.06
Startup_162,EdTech,1,1953427282,8347575181,44,UK,2019,53.66
Startup_163,AI,6,2108321987,7771127336,3,Australia,2020,198.66
Startup_164,E-commerce,8,2579938017,12689109686,28,Germany,2018,124.32
Startup_165,HealthTech,3,1792797299,8885946523,30,France,2018,106.38
Startup_166,Fintech,7,2225176805,7460309815,11,Singapore,2017,161.14
Startup_167,AI,4,3942136132,13331722858,18,Canada,2011,194.8
Startup_168,SaaS,5,2050994894,3323018202,50,Australia,2015,58.52
Startup_169,EdTech,1,1497188954,3463957404,4,India,2013,84.16
Startup_170,EdTech,7,2795286271,9372294266,11,Brazil,2005,26.14
Startup_171,E-commerce,6,4069844381,10407319507,24,China,2015,29.38
Startup_172,SaaS,9,74056826.76,231893726.7,41,Canada,2009,20.57
Startup_173,AI,8,4160635770,7671882584,17,Canada,2021,117.18
Startup_174,E-commerce,7,1246281478,3529517303,44,USA,2022,146.5
Startup_175,Fintech,10,2163501159,5677567960,23,India,2018,144.39
Startup_176,E-commerce,10,3023593160,9708896501,2,Germany,2011,174.66
Startup_177,AI,6,4022507020,17218730898,10,Canada,2018,74.68
Startup_178,Blockchain,8,2639730017,8690078939,50,Germany,2023,190.91
Startup_179,EdTech,8,2980685742,6492509510,49,Brazil,2015,190.16
Startup_180,Biotech,5,4585075339,19523891245,36,Germany,2002,129.84
Startup_181,Fintech,9,3472230659,14970962380,20,Singapore,2022,135.39
Startup_182,SaaS,5,2676973040,10097355730,30,Singapore,2019,79.06
Startup_183,Blockchain,2,859760107.9,3760108626,19,USA,2006,69.53
Startup_184,Fintech,2,4718625604,15939288190,43,France,2021,36.79
Startup_185,E-commerce,10,2159651828,9752567480,4,Germany,2013,119.32
Startup_186,E-commerce,9,3419195284,9807518462,31,Australia,2000,146.31
Startup_187,Fintech,1,4692850983,9430583719,38,Australia,2019,163.14
Startup_188,AI,3,933765490,3396760379,35,Germany,2012,38.02
Startup_189,SaaS,8,731636879.7,1108299045,15,Canada,2013,39.55
Startup_190,HealthTech,1,443939762.5,697379814.6,33,USA,2023,102.51
Startup_191,EdTech,5,3537897853,10415760749,24,UK,2002,87.76
Startup_192,HealthTech,6,2454112015,4119459442,31,UK,2017,92.85
Startup_193,Biotech,3,3028499025,8249717641,23,Brazil,2001,166.84
Startup_194,AI,6,1512009899,5283177736,8,China,2003,14.29
Startup_195,Blockchain,6,4322413750,20690412801,12,Brazil,2019,121.4
Startup_196,Biotech,8,168565481.2,727195576.4,5,UK,2013,171.9
Startup_197,E-commerce,9,4179505138,8856665634,29,Germany,2000,75.7
Startup_198,AI,9,2228321054,8017264022,1,Australia,2002,74.59
Startup_199,Fintech,5,633792175.1,2966463386,34,India,2015,91.34
Startup_200,SaaS,6,1475455254,3684352504,4,Germany,2013,144.69
Startup_201,EdTech,3,542731279.2,1969040721,1,Australia,2019,24.45
Startup_202,HealthTech,10,4330028545,7931295285,1,Canada,2013,40.6
Startup_203,SaaS,6,685270370.1,2402454292,50,Australia,2006,47.31
Startup_204,HealthTech,6,1258425678,5298085930,8,Australia,2013,37.21
Startup_205,SaaS,1,1550418956,6253327057,2,India,2004,98.86
Startup_206,Fintech,4,4746683505,7761659263,24,USA,2016,130.02
Startup_207,Fintech,6,3624908618,12768911221,16,France,2015,53.41
Startup_208,Biotech,4,3348055916,11313994824,39,USA,2004,16.08
Startup_209,SaaS,10,2059767260,9029865493,11,Singapore,2021,110.7
Startup_210,EdTech,9,998855411.8,4208170808,8,Brazil,2011,151.06
Startup_211,EdTech,6,4645711354,14179348714,24,India,2021,177.87
Startup_212,AI,6,3728949345,15948353331,21,Singapore,2023,111.77
Startup_213,AI,5,2787690069,10481365712,45,China,2009,10.48
Startup_214,EdTech,9,2679394096,11494147054,10,China,2010,165.9
Startup_215,EdTech,7,439284861.6,1562829429,27,India,2019,106.86
Startup_216,Biotech,9,2577216182,12253644328,28,China,2016,140.7
Startup_217,Biotech,4,4445077510,22111913741,43,China,2018,141.44
Startup_218,Blockchain,4,4695901676,20788206317,42,UK,2017,90.56
Startup_219,SaaS,5,3506488816,16858063237,29,UK,2021,188.35
Startup_220,AI,2,3243318328,8884770582,34,UK,2012,65.43
Startup_221,Fintech,10,2390702823,9276016886,42,China,2010,104.42
Startup_222,Biotech,7,3377630331,9382352167,4,China,2018,153.71
Startup_223,HealthTech,8,3458218710,7842816034,9,Brazil,2014,138.81
Startup_224,Fintech,7,3731753092,16420535788,50,France,2018,160.96
Startup_225,Biotech,7,3632948850,13901643179,6,India,2010,26.01
Startup_226,AI,9,1266365819,6118534839,35,USA,2015,42.96
Startup_227,Fintech,2,3823899177,18201047898,50,Germany,2005,103.9
Startup_228,EdTech,8,363240396.8,1219367670,25,India,2011,102.15
Startup_229,EdTech,8,386027409.3,1930125716,26,China,2016,105.83
Startup_230,AI,4,1695120558,5083482836,1,USA,2004,100.82
Startup_231,AI,9,652805003,1395188276,22,Canada,2005,25.26
Startup_232,Blockchain,8,854377165.5,2728289651,31,Australia,2007,29.43
Startup_233,HealthTech,9,1075247881,4790224565,11,Germany,2015,130.56
Startup_234,Blockchain,8,400841101.4,662110760.7,15,Brazil,2010,198.01
Startup_235,E-commerce,5,379381502.7,747379334.6,39,Canada,2019,122.77
Startup_236,Fintech,4,4197876048,12825152329,8,Canada,2000,76.55
Startup_237,Biotech,9,2527949676,4204560909,19,France,2010,119.46
Startup_238,E-commerce,2,1093248260,2279779309,35,Australia,2003,140.86
Startup_239,HealthTech,7,4023736140,14714029690,36,USA,2016,16.34
Startup_240,SaaS,7,1253743175,4041124098,45,UK,2018,63.38
Startup_241,EdTech,10,1017523655,3688922130,33,India,2022,158.64
Startup_242,E-commerce,5,1342310942,3446562281,24,Brazil,2021,57.58
Startup_243,Fintech,3,2717142585,11642202397,15,Canada,2023,156.11
Startup_244,Fintech,7,2043421497,5265703195,28,Brazil,2018,33.62
Startup_245,EdTech,10,4898183493,22870233548,4,Canada,2014,86.74
Startup_246,Blockchain,1,2240610148,5028323039,24,Australia,2019,114.88
Startup_247,Biotech,4,2271018471,4837009969,48,India,2016,105.47
Startup_248,EdTech,8,4247685608,7909848191,25,Brazil,2000,153.65
Startup_249,Fintech,6,2133781809,7258306477,6,Singapore,2001,69.38
Startup_250,HealthTech,1,1520118508,6084662754,44,UK,2005,153.25
Startup_251,Blockchain,6,3000757848,5904647394,21,USA,2017,88.31
Startup_252,AI,4,4346289464,7001483722,28,India,2021,149.6
Startup_253,HealthTech,3,1723538066,3114308798,11,Australia,2020,83.32
Startup_254,Fintech,1,1182544803,4393227758,2,UK,2006,10.96
Startup_255,AI,1,2063226366,7644608141,14,USA,2015,156.25
Startup_256,Fintech,2,4597521560,14390499980,39,Canada,2015,192.68
Startup_257,AI,10,1374644682,6097130882,38,Germany,2000,14.04
Startup_258,EdTech,4,1750123035,4508754227,27,Germany,2001,167.53
Startup_259,Biotech,2,2332266749,11093368482,38,USA,2015,8.66
Startup_260,Biotech,3,528679036.7,2636579981,48,Brazil,2003,191.88
Startup_261,E-commerce,2,3543353981,14166396322,8,Singapore,2001,33.04
Startup_262,EdTech,5,3564928263,16855295901,19,Germany,2011,129.82
Startup_263,Biotech,4,1227999591,3925379085,7,China,2003,56.28
Startup_264,SaaS,5,2383040228,5541034771,14,China,2010,158.96
Startup_265,E-commerce,9,4201382899,6890778314,36,UK,2003,183.68
Startup_266,E-commerce,9,2078074160,3660002170,23,Germany,2022,70.97
Startup_267,E-commerce,9,2350701524,10258454823,29,Canada,2004,80.76
Startup_268,AI,2,2730965395,11642934284,47,Australia,2017,8.18
Startup_269,AI,2,866649670.4,1996872951,29,Singapore,2009,102.04
Startup_270,Biotech,8,2807336928,13664307167,48,Singapore,2009,115.39
Startup_271,E-commerce,8,2718670323,4198200862,16,France,2008,91.48
Startup_272,Biotech,4,3036366848,10259128392,14,Singapore,2013,88.75
Startup_273,Fintech,2,3733885389,14349424226,24,Brazil,2023,47.81
Startup_274,SaaS,10,1374121897,6101680789,17,Singapore,2021,191.49
Startup_275,E-commerce,1,1910177329,9043004200,47,USA,2000,114.64
Startup_276,Blockchain,1,1851348304,7285139647,48,Brazil,2001,28.82
Startup_277,HealthTech,8,557513324.8,900017797.2,49,Singapore,2022,64.87
Startup_278,EdTech,2,3728214009,6084761595,18,UK,2020,150.9
Startup_279,AI,7,3426004016,10176253843,36,Germany,2015,84.19
Startup_280,E-commerce,9,4199399904,10507816027,5,Canada,2015,82.77
Startup_281,Biotech,9,4429201419,12868229775,33,India,2006,5.06
Startup_282,SaaS,5,4017662423,8049152109,14,Singapore,2011,102.75
Startup_283,EdTech,6,1983050394,6548855344,42,Brazil,2007,138.6
Startup_284,AI,9,3446049314,14038594477,46,China,2003,154.18
Startup_285,E-commerce,10,3286018255,13024216132,1,Australia,2008,153.81
Startup_286,EdTech,3,758989177,2810879811,3,France,2012,165.73
Startup_287,HealthTech,9,272245749.2,586823837.5,20,Singapore,2010,37.6
Startup_288,EdTech,5,3536485933,13706551233,31,Canada,2003,55.53
Startup_289,Biotech,4,1111359775,3461402771,41,Brazil,2008,151.06
Startup_290,HealthTech,2,2815145008,7938799567,42,Germany,2009,110.84
Startup_291,HealthTech,10,3256827303,8356443833,27,France,2009,20.63
Startup_292,AI,9,4811067146,15974120041,29,Australia,2006,177.41
Startup_293,Blockchain,6,1317604310,3633511532,1,Brazil,2007,34.8
Startup_294,Biotech,8,307683729.8,946106844.7,3,Brazil,2019,194.96
Startup_295,AI,8,2668300646,4466157555,48,Australia,2016,20.79
Startup_296,Fintech,10,3909244046,9917338641,31,Canada,2003,142.91
Startup_297,Fintech,10,3548649517,14213489869,36,France,2013,65.5
Startup_298,Blockchain,1,3711959836,12422356506,24,UK,2022,164.21
Startup_299,Blockchain,9,1196962004,2365314262,17,India,2012,100.81
Startup_300,EdTech,5,1886066715,9022527750,7,Brazil,2009,51.42
Startup_301,Blockchain,5,3892965585,18147745226,40,Canada,2009,61.66
Startup_302,HealthTech,5,2870553189,12659357265,20,Brazil,2002,81.38
Startup_303,AI,6,3071473664,12822732524,27,India,2005,45.14
Startup_304,E-commerce,9,243141363.6,1095687007,10,UK,2021,90.91
Startup_305,Fintech,4,2624105744,6449886362,31,Canada,2006,160.76
Startup_306,Fintech,5,3504415469,12551816823,40,Brazil,2023,187.78
Startup_307,HealthTech,6,2383337775,4277942084,38,Australia,2007,82.24
Startup_308,Blockchain,4,999722963.5,1867118152,37,Singapore,2014,44.33
Startup_309,Biotech,7,1902244072,5224433497,28,UK,2020,15.66
Startup_310,EdTech,5,3913849604,15026684239,34,UK,2020,69.41
Startup_311,AI,8,556489564.2,1373231565,12,France,2017,164.4
Startup_312,Fintech,10,2263649696,4120683165,39,USA,2023,26.96
Startup_313,Biotech,4,4580496812,7186503246,32,Brazil,2017,86.41
Startup_314,AI,4,88022376.7,305567170.7,30,Australia,2023,83.51
Startup_315,HealthTech,7,181388776.5,501478318.9,50,Australia,2015,179.5
Startup_316,AI,7,3064309690,6281758015,14,India,2019,63.07
Startup_317,Fintech,7,4234699339,10936348473,18,UK,2000,26.54
Startup_318,Biotech,2,572692370.7,1282025513,24,Germany,2015,125.51
Startup_319,EdTech,5,2550126892,12370909257,31,Singapore,2016,167.52
Startup_320,AI,8,1891274738,5257962346,14,Canada,2020,161.65
Startup_321,AI,3,1935618158,4783106426,29,Singapore,2021,25.9
Startup_322,SaaS,2,2042971784,7247814828,30,France,2010,124.72
Startup_323,SaaS,2,2427592594,4737980888,39,Brazil,2000,68.89
Startup_324,AI,5,3537064313,17158731567,10,Singapore,2013,29.71
Startup_325,Fintech,1,3224985024,12294854490,7,Australia,2010,127.81
Startup_326,HealthTech,10,4334970078,18560084402,37,Singapore,2007,74.27
Startup_327,E-commerce,8,3442333684,14587083195,24,Australia,2019,133.48
Startup_328,EdTech,8,4111180278,7725412065,42,Germany,2019,9.13
Startup_329,SaaS,2,3246045213,9945625802,4,Brazil,2023,165.57
Startup_330,AI,6,1407628042,2837837328,11,Singapore,2002,73.2
Startup_331,AI,7,251433829.3,1147470458,19,France,2015,147.66
Startup_332,Fintech,9,3789305458,8272667271,43,France,2022,156.78
Startup_333,HealthTech,9,230641984.3,858106903.1,31,France,2011,72.03
Startup_334,Biotech,9,4369722782,12890999403,45,China,2002,7.45
Startup_335,EdTech,4,1750683156,3120112261,43,Brazil,2004,65.88
Startup_336,EdTech,9,1625548003,3408525774,27,Canada,2009,111.92
Startup_337,Blockchain,6,1676572969,7753709294,7,USA,2018,74.03
Startup_338,SaaS,6,4663152866,22805435917,18,India,2015,118.11
Startup_339,Biotech,10,1623426889,7676553083,1,Australia,2012,194.84
Startup_340,AI,2,1003881233,2796426952,1,India,2016,138
Startup_341,Fintech,5,4227877501,17362043767,28,China,2014,174.26
Startup_342,E-commerce,10,1864209580,5089503847,47,Australia,2012,37.75
Startup_343,Fintech,5,1780270983,5740360070,43,France,2018,143.12
Startup_344,E-commerce,3,1760051855,5645709261,41,France,2016,194.99
Startup_345,EdTech,9,10028813.43,24664765.74,36,Australia,2009,42.73
Startup_346,HealthTech,9,3175452269,10934068072,35,India,2015,43.05
Startup_347,Biotech,8,1544091978,7279467787,37,Australia,2015,141.52
Startup_348,Blockchain,3,4843785979,13046963461,15,Brazil,2010,38.45
Startup_349,AI,6,62049936.48,130113625,19,USA,2011,117.19
Startup_350,AI,3,4044917794,12764768343,42,UK,2000,175.01
Startup_351,E-commerce,5,3416933225,11245547168,44,Brazil,2019,161.18
Startup_352,Blockchain,4,3587854635,8324601077,36,UK,2015,119.52
Startup_353,Blockchain,9,1422023273,7107966292,11,Australia,2010,66.76
Startup_354,SaaS,1,3511025819,6984359727,7,China,2005,72.78
Startup_355,EdTech,7,2547693390,11899602710,50,USA,2008,145.64
Startup_356,HealthTech,5,2372278463,9754796016,1,China,2002,96.85
Startup_357,Biotech,5,2172154535,5318543514,9,USA,2019,26.91
Startup_358,Biotech,8,3065765127,5006863185,38,Singapore,2016,84.74
Startup_359,Fintech,5,3518787976,14521282906,8,Singapore,2017,112.45
Startup_360,E-commerce,9,1137348965,5383824725,17,Canada,2016,73.01
Startup_361,EdTech,3,850720932.5,3806741829,46,Australia,2007,35.39
Startup_362,E-commerce,4,1819132028,4360825655,34,Germany,2000,63.48
Startup_363,EdTech,10,4159273796,16057690573,13,Brazil,2003,181.91
Startup_364,Biotech,7,1897673514,4597855631,46,Australia,2004,76.98
Startup_365,HealthTech,1,3223093027,5060395685,26,Germany,2017,54.91
Startup_366,AI,8,2095633330,3302567190,28,Germany,2013,73.14
Startup_367,Fintech,7,2562781526,3937979946,13,France,2006,41.48
Startup_368,Biotech,2,2457235232,10732170703,14,UK,2016,24.84
Startup_369,HealthTech,6,4995603165,8977952853,17,Singapore,2015,23.99
Startup_370,HealthTech,4,308665901,666200580.6,1,USA,2008,32.66
Startup_371,Fintech,2,2880572767,4603853698,10,Canada,2022,91.82
Startup_372,Blockchain,3,2181697848,5314637540,18,UK,2007,81.03
Startup_373,SaaS,4,4685071785,8981836184,34,USA,2009,60.57
Startup_374,SaaS,10,3250711928,8910023275,43,USA,2017,167.03
Startup_375,Biotech,3,4871984848,15853976427,48,China,2000,141.04
Startup_376,Biotech,9,1855420999,5533572288,3,India,2017,196.74
Startup_377,AI,1,2990998926,10215873120,4,France,2003,65.71
Startup_378,HealthTech,1,979033130,2498906979,20,India,2012,170.68
Startup_379,Biotech,7,1085455490,3944636469,10,Australia,2002,189.53
Startup_380,AI,7,3252215198,13279372135,18,UK,2018,172.16
Startup_381,AI,1,3132685186,13178905502,10,India,2011,184.37
Startup_382,Biotech,1,154202301,407827261.2,48,Australia,2011,86.85
Startup_383,Biotech,8,4709711132,8566272046,17,Singapore,2001,70.63
Startup_384,SaaS,7,3785417699,13783956658,14,Singapore,2012,83.25
Startup_385,AI,10,1070044443,3072483280,27,China,2023,43.38
Startup_386,Blockchain,6,1109052377,5116554298,9,UK,2010,28.18
Startup_387,Blockchain,9,196943519.7,784352291.3,20,China,2016,99.08
Startup_388,Blockchain,1,3096338152,7184699639,16,Singapore,2006,47.04
